profile_id,worker_id,raw_description,embedding,created_at
17,17,Experienced ac installation with 19 years of experience. Speaks Malayalam. Available to travel up to 27 km. Current rating is 3.58.,,2025-06-22
18,18,Experienced packers with 4 years of experience. Speaks Tamil. Available to travel up to 25 km. Current rating is 4.87.,,2025-01-30
19,19,Experienced carpenter with 19 years of experience. Speaks Tamil. Available to travel up to 11 km. Current rating is 4.28.,,2025-08-23
20,20,Experienced wall painting with 13 years of experience. Speaks Telugu. Available to travel up to 20 km. Current rating is 4.82.,,2025-04-07
21,21,Experienced kitchen cleaning with 16 years of experience. Speaks Tamil. Available to travel up to 35 km. Current rating is 4.25.,,2025-01-18
22,22,Experienced washing machine repair with 20 years of experience. Speaks Hindi. Available to travel up to 7 km. Current rating is 4.76.,,2025-09-22
23,23,Experienced alteration with 19 years of experience. Speaks Tamil. Available to travel up to 27 km. Current rating is 4.11.,,2025-10-22
24,24,Experienced light installation with 13 years of experience. Speaks Hindi. Available to travel up to 44 km. Current rating is 4.75.,,2025-08-30
25,25,Experienced mason with 20 years of experience. Speaks English. Available to travel up to 12 km. Current rating is 4.03.,,2025-08-10
26,26,Experienced interior painting with 0 years of experience. Speaks Malayalam. Available to travel up to 11 km. Current rating is 4.5.,,2025-08-03
27,27,Experienced lawn maintenance with 18 years of experience. Speaks English. Available to travel up to 49 km. Current rating is 4.45.,,2025-06-26
28,28,Experienced tree trimming with 11 years of experience. Speaks Malayalam. Available to travel up to 22 km. Current rating is 4.23.,,2025-08-06
29,29,Experienced tailor with 11 years of experience. Speaks Kannada. Available to travel up to 6 km. Current rating is 4.31.,,2025-01-04
30,30,Experienced catering with 15 years of experience. Speaks English. Available to travel up to 47 km. Current rating is 4.57.,,2025-03-13
31,31,Experienced ac technician with 19 years of experience. Speaks Hindi. Available to travel up to 30 km. Current rating is 3.83.,,2025-05-18
32,32,Experienced interior painting with 18 years of experience. Speaks Malayalam. Available to travel up to 26 km. Current rating is 3.72.,,2025-06-16
33,33,Experienced cook with 1 years of experience. Speaks Hindi. Available to travel up to 14 km. Current rating is 3.91.,,2025-05-20
34,34,Experienced driver with 7 years of experience. Speaks English. Available to travel up to 10 km. Current rating is 4.32.,,2025-07-06
35,35,Experienced refrigerator repair with 16 years of experience. Speaks Telugu. Available to travel up to 34 km. Current rating is 3.57.,,2025-06-20
36,36,Experienced hair stylist with 10 years of experience. Speaks Malayalam. Available to travel up to 24 km. Current rating is 4.71.,,2025-05-16
37,37,Experienced furniture assembly with 0 years of experience. Speaks Malayalam. Available to travel up to 8 km. Current rating is 4.83.,,2025-09-05
38,38,Experienced bathroom fitting with 15 years of experience. Speaks Tamil. Available to travel up to 26 km. Current rating is 3.8.,,2025-06-19
39,39,Experienced light installation with 18 years of experience. Speaks English. Available to travel up to 22 km. Current rating is 3.96.,,2025-02-01
40,40,Experienced door repair with 3 years of experience. Speaks Tamil. Available to travel up to 11 km. Current rating is 4.45.,,2025-05-09
41,41,Experienced water tank installation with 12 years of experience. Speaks Hindi. Available to travel up to 11 km. Current rating is 3.84.,,2025-10-29
42,42,Experienced leak detection with 7 years of experience. Speaks Tamil. Available to travel up to 20 km. Current rating is 3.67.,,2025-08-12
43,43,Experienced fan installation with 15 years of experience. Speaks Telugu. Available to travel up to 10 km. Current rating is 3.67.,,2025-12-22
44,44,Experienced packers with 5 years of experience. Speaks Malayalam. Available to travel up to 14 km. Current rating is 4.85.,,2025-01-13
45,45,Experienced brick work with 16 years of experience. Speaks Kannada. Available to travel up to 28 km. Current rating is 4.54.,,2025-06-25
46,46,Experienced ac repair with 14 years of experience. Speaks Malayalam. Available to travel up to 50 km. Current rating is 4.42.,,2025-08-25
47,47,Experienced house cleaning with 18 years of experience. Speaks Malayalam. Available to travel up to 20 km. Current rating is 4.86.,,2025-09-11
48,48,Experienced lawn maintenance with 1 years of experience. Speaks Hindi. Available to travel up to 10 km. Current rating is 4.27.,,2025-08-11
49,49,Experienced hair stylist with 5 years of experience. Speaks Hindi. Available to travel up to 40 km. Current rating is 3.87.,,2025-01-23
50,50,Experienced plumber with 13 years of experience. Speaks English. Available to travel up to 26 km. Current rating is 4.36.,,2025-09-02
51,51,Experienced hair stylist with 1 years of experience. Speaks Malayalam. Available to travel up to 15 km. Current rating is 3.69.,,2025-12-20
52,52,Experienced security guard with 16 years of experience. Speaks Tamil. Available to travel up to 26 km. Current rating is 3.81.,,2025-02-20
53,53,Experienced catering with 16 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 4.35.,,2025-03-21
54,54,Experienced painter with 20 years of experience. Speaks English. Available to travel up to 11 km. Current rating is 3.9.,,2025-08-14
55,55,Experienced beautician with 13 years of experience. Speaks English. Available to travel up to 7 km. Current rating is 4.33.,,2025-01-23
56,56,Experienced tv repair with 15 years of experience. Speaks Telugu. Available to travel up to 5 km. Current rating is 4.03.,,2025-06-18
57,57,Experienced ac installation with 17 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 4.57.,,2025-07-13
58,58,Experienced fan installation with 8 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 4.64.,,2025-06-03
59,59,Experienced electrician with 12 years of experience. Speaks English. Available to travel up to 47 km. Current rating is 3.93.,,2025-12-26
60,60,Experienced movers with 12 years of experience. Speaks Kannada. Available to travel up to 24 km. Current rating is 3.96.,,2025-08-11
61,61,Experienced interior painting with 3 years of experience. Speaks Malayalam. Available to travel up to 26 km. Current rating is 4.86.,,2025-11-06
62,62,Experienced painter with 1 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 4.53.,,2025-12-03
63,63,Experienced ac installation with 5 years of experience. Speaks Kannada. Available to travel up to 42 km. Current rating is 4.33.,,2025-11-08
64,64,Experienced tile installation with 2 years of experience. Speaks Telugu. Available to travel up to 17 km. Current rating is 3.55.,,2025-09-04
65,65,Experienced leak detection with 9 years of experience. Speaks Tamil. Available to travel up to 39 km. Current rating is 4.4.,,2025-04-12
66,66,Experienced makeup artist with 6 years of experience. Speaks Kannada. Available to travel up to 32 km. Current rating is 4.72.,,2025-05-01
67,67,Experienced microwave repair with 6 years of experience. Speaks Tamil. Available to travel up to 36 km. Current rating is 4.98.,,2025-11-06
68,68,Experienced security guard with 4 years of experience. Speaks Hindi. Available to travel up to 9 km. Current rating is 4.79.,,2025-08-05
69,69,Experienced fan installation with 1 years of experience. Speaks Malayalam. Available to travel up to 30 km. Current rating is 3.71.,,2025-06-09
70,70,Experienced hair stylist with 9 years of experience. Speaks Tamil. Available to travel up to 19 km. Current rating is 3.81.,,2025-10-19
71,71,Experienced mason with 3 years of experience. Speaks Tamil. Available to travel up to 40 km. Current rating is 4.63.,,2025-10-24
72,72,Experienced packers with 15 years of experience. Speaks Kannada. Available to travel up to 6 km. Current rating is 4.92.,,2025-02-16
73,73,Experienced water tank installation with 7 years of experience. Speaks Malayalam. Available to travel up to 33 km. Current rating is 4.01.,,2025-10-05
74,74,Experienced switch repair with 0 years of experience. Speaks Hindi. Available to travel up to 23 km. Current rating is 4.81.,,2025-08-03
75,75,Experienced light installation with 12 years of experience. Speaks Kannada. Available to travel up to 44 km. Current rating is 4.33.,,2025-08-16
76,76,Experienced plumber with 6 years of experience. Speaks Malayalam. Available to travel up to 29 km. Current rating is 4.54.,,2025-05-06
77,77,Experienced painter with 5 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 4.59.,,2025-10-26
78,78,Experienced furniture assembly with 8 years of experience. Speaks Hindi. Available to travel up to 45 km. Current rating is 4.21.,,2025-01-10
79,79,Experienced makeup artist with 7 years of experience. Speaks English. Available to travel up to 11 km. Current rating is 4.72.,,2025-05-29
80,80,Experienced wall painting with 19 years of experience. Speaks Tamil. Available to travel up to 19 km. Current rating is 4.09.,,2025-03-03
81,81,Experienced wall painting with 20 years of experience. Speaks English. Available to travel up to 38 km. Current rating is 4.82.,,2025-01-01
82,82,Experienced driver with 16 years of experience. Speaks Telugu. Available to travel up to 17 km. Current rating is 4.43.,,2025-05-21
83,83,Experienced leak detection with 8 years of experience. Speaks Tamil. Available to travel up to 45 km. Current rating is 3.97.,,2025-10-01
84,84,Experienced mason with 2 years of experience. Speaks Telugu. Available to travel up to 31 km. Current rating is 4.18.,,2025-07-20
85,85,Experienced wood polishing with 11 years of experience. Speaks Kannada. Available to travel up to 8 km. Current rating is 4.31.,,2025-11-04
86,86,Experienced pipe repair with 19 years of experience. Speaks Tamil. Available to travel up to 22 km. Current rating is 4.68.,,2025-02-09
87,87,Experienced pipe repair with 2 years of experience. Speaks Malayalam. Available to travel up to 29 km. Current rating is 4.61.,,2025-08-21
88,88,Experienced security guard with 4 years of experience. Speaks English. Available to travel up to 12 km. Current rating is 3.72.,,2025-08-26
89,89,Experienced bathroom fitting with 5 years of experience. Speaks Telugu. Available to travel up to 24 km. Current rating is 4.95.,,2025-11-10
90,90,Experienced brick work with 1 years of experience. Speaks Tamil. Available to travel up to 31 km. Current rating is 3.95.,,2025-02-01
91,91,Experienced makeup artist with 14 years of experience. Speaks English. Available to travel up to 6 km. Current rating is 4.97.,,2025-02-23
92,92,Experienced driver with 14 years of experience. Speaks Telugu. Available to travel up to 18 km. Current rating is 4.18.,,2025-07-14
93,93,Experienced painter with 18 years of experience. Speaks English. Available to travel up to 44 km. Current rating is 4.31.,,2025-03-29
94,94,Experienced hair stylist with 9 years of experience. Speaks Tamil. Available to travel up to 26 km. Current rating is 4.65.,,2025-06-07
95,95,Experienced door repair with 6 years of experience. Speaks Telugu. Available to travel up to 23 km. Current rating is 4.35.,,2025-08-01
96,96,Experienced bathroom fitting with 12 years of experience. Speaks Tamil. Available to travel up to 33 km. Current rating is 4.74.,,2025-04-18
97,97,Experienced furniture assembly with 0 years of experience. Speaks English. Available to travel up to 46 km. Current rating is 4.88.,,2025-08-20
98,98,Experienced makeup artist with 0 years of experience. Speaks Kannada. Available to travel up to 14 km. Current rating is 4.11.,,2025-10-24
99,99,Experienced bathroom fitting with 19 years of experience. Speaks English. Available to travel up to 22 km. Current rating is 4.25.,,2025-09-03
100,100,Experienced mason with 13 years of experience. Speaks Kannada. Available to travel up to 32 km. Current rating is 4.42.,,2025-03-13
101,101,Experienced concrete work with 14 years of experience. Speaks Malayalam. Available to travel up to 27 km. Current rating is 4.84.,,2025-02-21
102,102,Experienced light installation with 10 years of experience. Speaks Tamil. Available to travel up to 24 km. Current rating is 4.85.,,2025-08-19
103,103,Experienced leak detection with 0 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 3.69.,,2025-08-24
104,104,Experienced microwave repair with 11 years of experience. Speaks English. Available to travel up to 11 km. Current rating is 3.9.,,2025-11-05
105,105,Experienced ac repair with 17 years of experience. Speaks Telugu. Available to travel up to 17 km. Current rating is 3.96.,,2025-04-14
106,106,Experienced washing machine repair with 3 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 3.55.,,2025-10-05
107,107,Experienced beautician with 6 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 3.78.,,2025-05-31
108,108,Experienced pipe repair with 20 years of experience. Speaks Malayalam. Available to travel up to 43 km. Current rating is 4.61.,,2025-11-06
109,109,Experienced ac technician with 12 years of experience. Speaks Malayalam. Available to travel up to 44 km. Current rating is 4.62.,,2025-03-27
110,110,Experienced cook with 16 years of experience. Speaks Tamil. Available to travel up to 39 km. Current rating is 3.9.,,2025-11-22
111,111,Experienced cook with 13 years of experience. Speaks Malayalam. Available to travel up to 27 km. Current rating is 4.75.,,2025-01-29
112,112,Experienced furniture assembly with 5 years of experience. Speaks Malayalam. Available to travel up to 6 km. Current rating is 4.22.,,2025-03-13
113,113,Experienced fan installation with 5 years of experience. Speaks Kannada. Available to travel up to 33 km. Current rating is 4.37.,,2025-11-12
114,114,Experienced interior painting with 10 years of experience. Speaks Hindi. Available to travel up to 8 km. Current rating is 4.7.,,2025-08-02
115,115,Experienced switch repair with 16 years of experience. Speaks Kannada. Available to travel up to 33 km. Current rating is 3.73.,,2025-03-08
116,116,Experienced ac installation with 9 years of experience. Speaks Malayalam. Available to travel up to 49 km. Current rating is 4.79.,,2025-10-29
117,117,Experienced makeup artist with 18 years of experience. Speaks Telugu. Available to travel up to 16 km. Current rating is 4.58.,,2025-12-30
118,118,Experienced switch repair with 6 years of experience. Speaks Telugu. Available to travel up to 29 km. Current rating is 4.18.,,2025-07-16
119,119,Experienced brick work with 17 years of experience. Speaks English. Available to travel up to 30 km. Current rating is 4.65.,,2025-11-30
120,120,Experienced tv repair with 18 years of experience. Speaks English. Available to travel up to 29 km. Current rating is 4.72.,,2025-12-08
121,121,Experienced house cleaning with 11 years of experience. Speaks Hindi. Available to travel up to 47 km. Current rating is 4.55.,,2025-02-20
122,122,Experienced washing machine repair with 3 years of experience. Speaks English. Available to travel up to 16 km. Current rating is 4.38.,,2025-12-19
123,123,Experienced movers with 13 years of experience. Speaks Tamil. Available to travel up to 34 km. Current rating is 4.22.,,2025-05-15
124,124,Experienced light installation with 19 years of experience. Speaks Tamil. Available to travel up to 44 km. Current rating is 4.16.,,2025-06-10
125,125,Experienced tile installation with 7 years of experience. Speaks English. Available to travel up to 50 km. Current rating is 4.52.,,2025-12-27
126,126,Experienced gardener with 4 years of experience. Speaks Telugu. Available to travel up to 34 km. Current rating is 4.08.,,2025-09-11
127,127,Experienced cook with 16 years of experience. Speaks Tamil. Available to travel up to 25 km. Current rating is 3.77.,,2025-06-20
128,128,Experienced cloth stitching with 3 years of experience. Speaks Hindi. Available to travel up to 37 km. Current rating is 4.02.,,2025-01-11
129,129,Experienced carpenter with 19 years of experience. Speaks Tamil. Available to travel up to 18 km. Current rating is 3.95.,,2025-01-19
130,130,Experienced tailor with 19 years of experience. Speaks Malayalam. Available to travel up to 20 km. Current rating is 4.38.,,2025-09-21
131,131,Experienced interior painting with 14 years of experience. Speaks Tamil. Available to travel up to 16 km. Current rating is 3.79.,,2025-11-20
132,132,Experienced exterior painting with 10 years of experience. Speaks Kannada. Available to travel up to 28 km. Current rating is 4.54.,,2025-02-06
133,133,Experienced ac installation with 3 years of experience. Speaks Malayalam. Available to travel up to 25 km. Current rating is 3.52.,,2025-05-15
134,134,Experienced wall painting with 11 years of experience. Speaks Telugu. Available to travel up to 31 km. Current rating is 4.56.,,2025-12-08
135,135,Experienced lawn maintenance with 20 years of experience. Speaks Kannada. Available to travel up to 18 km. Current rating is 4.4.,,2025-07-24
136,136,Experienced deep cleaning with 17 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 3.78.,,2025-08-31
137,137,Experienced brick work with 9 years of experience. Speaks Hindi. Available to travel up to 21 km. Current rating is 4.67.,,2025-05-25
138,138,Experienced tv repair with 18 years of experience. Speaks Malayalam. Available to travel up to 49 km. Current rating is 4.44.,,2025-11-09
139,139,Experienced mason with 14 years of experience. Speaks Kannada. Available to travel up to 6 km. Current rating is 4.91.,,2025-09-11
140,140,Experienced leak detection with 7 years of experience. Speaks Malayalam. Available to travel up to 29 km. Current rating is 3.54.,,2025-12-20
141,141,Experienced microwave repair with 15 years of experience. Speaks Kannada. Available to travel up to 21 km. Current rating is 4.79.,,2025-12-03
142,142,Experienced driver with 10 years of experience. Speaks Kannada. Available to travel up to 38 km. Current rating is 4.84.,,2025-03-18
143,143,Experienced alteration with 5 years of experience. Speaks Malayalam. Available to travel up to 47 km. Current rating is 4.71.,,2025-04-07
144,144,Experienced brick work with 13 years of experience. Speaks Tamil. Available to travel up to 27 km. Current rating is 4.94.,,2025-11-04
145,145,Experienced carpenter with 2 years of experience. Speaks Telugu. Available to travel up to 48 km. Current rating is 4.3.,,2025-09-14
146,146,Experienced water tank installation with 7 years of experience. Speaks Malayalam. Available to travel up to 9 km. Current rating is 3.86.,,2025-05-21
147,147,Experienced bathroom cleaning with 7 years of experience. Speaks English. Available to travel up to 46 km. Current rating is 4.58.,,2025-03-23
148,148,Experienced microwave repair with 18 years of experience. Speaks Telugu. Available to travel up to 34 km. Current rating is 3.58.,,2025-07-09
149,149,Experienced mason with 12 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 4.89.,,2025-02-10
150,150,Experienced plumber with 6 years of experience. Speaks Kannada. Available to travel up to 21 km. Current rating is 3.99.,,2025-01-15
151,151,Experienced gardener with 0 years of experience. Speaks Tamil. Available to travel up to 14 km. Current rating is 4.22.,,2025-09-27
152,152,Experienced switch repair with 5 years of experience. Speaks Malayalam. Available to travel up to 19 km. Current rating is 3.96.,,2025-04-26
153,153,Experienced deep cleaning with 0 years of experience. Speaks Malayalam. Available to travel up to 18 km. Current rating is 4.24.,,2025-01-13
154,154,Experienced security guard with 4 years of experience. Speaks Hindi. Available to travel up to 35 km. Current rating is 4.07.,,2025-01-08
155,155,Experienced alteration with 10 years of experience. Speaks Telugu. Available to travel up to 26 km. Current rating is 4.86.,,2025-10-23
156,156,Experienced cloth stitching with 11 years of experience. Speaks Hindi. Available to travel up to 50 km. Current rating is 3.7.,,2025-11-28
157,157,Experienced tailor with 6 years of experience. Speaks English. Available to travel up to 7 km. Current rating is 3.62.,,2025-06-29
158,158,Experienced lawn maintenance with 14 years of experience. Speaks Telugu. Available to travel up to 48 km. Current rating is 3.51.,,2025-05-22
159,159,Experienced wall painting with 10 years of experience. Speaks English. Available to travel up to 30 km. Current rating is 4.14.,,2025-11-26
160,160,Experienced leak detection with 18 years of experience. Speaks Malayalam. Available to travel up to 29 km. Current rating is 3.51.,,2025-02-16
161,161,Experienced leak detection with 18 years of experience. Speaks Telugu. Available to travel up to 33 km. Current rating is 4.73.,,2025-04-09
162,162,Experienced furniture assembly with 0 years of experience. Speaks English. Available to travel up to 21 km. Current rating is 4.24.,,2025-04-03
163,163,Experienced deep cleaning with 2 years of experience. Speaks Hindi. Available to travel up to 18 km. Current rating is 3.86.,,2025-10-14
164,164,Experienced beautician with 15 years of experience. Speaks Tamil. Available to travel up to 35 km. Current rating is 4.87.,,2025-04-08
165,165,Experienced furniture assembly with 10 years of experience. Speaks Kannada. Available to travel up to 14 km. Current rating is 4.07.,,2025-10-07
166,166,Experienced packers with 13 years of experience. Speaks Hindi. Available to travel up to 33 km. Current rating is 3.97.,,2025-05-19
167,167,Experienced bathroom fitting with 0 years of experience. Speaks Tamil. Available to travel up to 43 km. Current rating is 4.97.,,2025-12-06
168,168,Experienced cloth stitching with 20 years of experience. Speaks Telugu. Available to travel up to 46 km. Current rating is 3.79.,,2025-06-21
169,169,Experienced furniture assembly with 15 years of experience. Speaks Malayalam. Available to travel up to 35 km. Current rating is 4.94.,,2025-10-02
170,170,Experienced fan installation with 18 years of experience. Speaks Kannada. Available to travel up to 13 km. Current rating is 4.17.,,2025-07-13
171,171,Experienced lawn maintenance with 6 years of experience. Speaks Malayalam. Available to travel up to 45 km. Current rating is 4.05.,,2025-04-21
172,172,Experienced tv repair with 13 years of experience. Speaks Tamil. Available to travel up to 47 km. Current rating is 4.31.,,2025-03-29
173,173,Experienced ac repair with 2 years of experience. Speaks Tamil. Available to travel up to 5 km. Current rating is 4.79.,,2025-04-08
174,174,Experienced microwave repair with 7 years of experience. Speaks Hindi. Available to travel up to 30 km. Current rating is 4.99.,,2025-03-25
175,175,Experienced exterior painting with 19 years of experience. Speaks Kannada. Available to travel up to 27 km. Current rating is 4.9.,,2025-06-23
176,176,Experienced makeup artist with 17 years of experience. Speaks Malayalam. Available to travel up to 43 km. Current rating is 4.61.,,2025-05-28
177,177,Experienced movers with 20 years of experience. Speaks Tamil. Available to travel up to 31 km. Current rating is 3.94.,,2025-06-27
178,178,Experienced plumber with 19 years of experience. Speaks English. Available to travel up to 42 km. Current rating is 4.81.,,2025-12-02
179,179,Experienced fan installation with 16 years of experience. Speaks Kannada. Available to travel up to 13 km. Current rating is 4.42.,,2025-07-19
180,180,Experienced fan installation with 7 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 3.87.,,2025-10-02
181,181,Experienced makeup artist with 13 years of experience. Speaks English. Available to travel up to 30 km. Current rating is 4.41.,,2025-02-08
182,182,Experienced house cleaning with 3 years of experience. Speaks Telugu. Available to travel up to 50 km. Current rating is 3.73.,,2025-09-03
183,183,Experienced house wiring with 1 years of experience. Speaks Tamil. Available to travel up to 17 km. Current rating is 4.77.,,2025-09-08
184,184,Experienced catering with 4 years of experience. Speaks Malayalam. Available to travel up to 43 km. Current rating is 4.58.,,2025-12-26
185,185,Experienced ac technician with 16 years of experience. Speaks Telugu. Available to travel up to 48 km. Current rating is 4.62.,,2025-07-27
186,186,Experienced packers with 1 years of experience. Speaks Kannada. Available to travel up to 33 km. Current rating is 4.62.,,2025-10-08
187,187,Experienced furniture assembly with 19 years of experience. Speaks English. Available to travel up to 9 km. Current rating is 3.59.,,2025-04-01
188,188,Experienced tree trimming with 0 years of experience. Speaks Telugu. Available to travel up to 50 km. Current rating is 3.77.,,2025-05-21
189,189,Experienced movers with 5 years of experience. Speaks Hindi. Available to travel up to 32 km. Current rating is 3.57.,,2025-12-15
190,190,Experienced gardener with 0 years of experience. Speaks Telugu. Available to travel up to 11 km. Current rating is 4.48.,,2025-07-16
191,191,Experienced wood polishing with 4 years of experience. Speaks English. Available to travel up to 28 km. Current rating is 4.69.,,2025-05-26
192,192,Experienced door repair with 6 years of experience. Speaks English. Available to travel up to 9 km. Current rating is 4.35.,,2025-03-20
193,193,Experienced painter with 1 years of experience. Speaks Hindi. Available to travel up to 26 km. Current rating is 3.76.,,2025-05-27
194,194,Experienced microwave repair with 4 years of experience. Speaks Hindi. Available to travel up to 36 km. Current rating is 4.91.,,2025-09-22
195,195,Experienced washing machine repair with 17 years of experience. Speaks Telugu. Available to travel up to 13 km. Current rating is 4.06.,,2025-08-15
196,196,Experienced bathroom cleaning with 7 years of experience. Speaks Hindi. Available to travel up to 16 km. Current rating is 4.42.,,2025-09-25
197,197,Experienced light installation with 3 years of experience. Speaks Tamil. Available to travel up to 39 km. Current rating is 4.86.,,2025-03-22
198,198,Experienced switch repair with 10 years of experience. Speaks English. Available to travel up to 46 km. Current rating is 4.2.,,2025-03-21
199,199,Experienced exterior painting with 4 years of experience. Speaks Hindi. Available to travel up to 14 km. Current rating is 4.08.,,2025-01-10
200,200,Experienced security guard with 6 years of experience. Speaks Telugu. Available to travel up to 8 km. Current rating is 4.03.,,2025-10-20
201,201,Experienced carpenter with 5 years of experience. Speaks Kannada. Available to travel up to 30 km. Current rating is 4.02.,,2025-09-29
202,202,Experienced microwave repair with 8 years of experience. Speaks Malayalam. Available to travel up to 47 km. Current rating is 4.36.,,2025-05-01
203,203,Experienced makeup artist with 1 years of experience. Speaks Telugu. Available to travel up to 41 km. Current rating is 4.8.,,2025-07-27
204,204,Experienced brick work with 10 years of experience. Speaks Hindi. Available to travel up to 7 km. Current rating is 4.64.,,2025-02-12
205,205,Experienced tree trimming with 2 years of experience. Speaks Kannada. Available to travel up to 49 km. Current rating is 4.96.,,2025-03-31
206,206,Experienced lawn maintenance with 5 years of experience. Speaks Hindi. Available to travel up to 27 km. Current rating is 4.37.,,2025-07-04
207,207,Experienced beautician with 10 years of experience. Speaks Malayalam. Available to travel up to 32 km. Current rating is 4.71.,,2025-10-16
208,208,Experienced kitchen cleaning with 14 years of experience. Speaks English. Available to travel up to 28 km. Current rating is 4.03.,,2025-01-08
209,209,Experienced wall painting with 6 years of experience. Speaks Kannada. Available to travel up to 30 km. Current rating is 4.31.,,2025-05-19
210,210,Experienced hair stylist with 5 years of experience. Speaks Telugu. Available to travel up to 25 km. Current rating is 4.42.,,2025-10-12
211,211,Experienced packers with 6 years of experience. Speaks Telugu. Available to travel up to 29 km. Current rating is 4.54.,,2025-11-11
212,212,Experienced mason with 8 years of experience. Speaks English. Available to travel up to 39 km. Current rating is 4.9.,,2025-05-25
213,213,Experienced tailor with 12 years of experience. Speaks Kannada. Available to travel up to 24 km. Current rating is 4.28.,,2025-05-17
214,214,Experienced movers with 2 years of experience. Speaks Kannada. Available to travel up to 23 km. Current rating is 4.04.,,2025-03-16
215,215,Experienced electrician with 6 years of experience. Speaks Telugu. Available to travel up to 10 km. Current rating is 4.71.,,2025-04-05
216,216,Experienced interior painting with 7 years of experience. Speaks Malayalam. Available to travel up to 39 km. Current rating is 4.96.,,2025-05-01
217,217,Experienced carpenter with 16 years of experience. Speaks Telugu. Available to travel up to 5 km. Current rating is 3.82.,,2025-10-06
218,218,Experienced house wiring with 20 years of experience. Speaks Malayalam. Available to travel up to 35 km. Current rating is 3.77.,,2025-03-27
219,219,Experienced makeup artist with 0 years of experience. Speaks Hindi. Available to travel up to 13 km. Current rating is 4.65.,,2025-04-15
220,220,Experienced exterior painting with 19 years of experience. Speaks Telugu. Available to travel up to 6 km. Current rating is 4.1.,,2025-10-02
221,221,Experienced door repair with 17 years of experience. Speaks Malayalam. Available to travel up to 44 km. Current rating is 3.66.,,2025-11-17
222,222,Experienced makeup artist with 6 years of experience. Speaks Malayalam. Available to travel up to 45 km. Current rating is 4.72.,,2025-09-06
223,223,Experienced wood polishing with 13 years of experience. Speaks Tamil. Available to travel up to 12 km. Current rating is 4.19.,,2025-09-16
224,224,Experienced ac repair with 8 years of experience. Speaks Kannada. Available to travel up to 43 km. Current rating is 4.62.,,2025-10-12
225,225,Experienced tv repair with 3 years of experience. Speaks Telugu. Available to travel up to 13 km. Current rating is 4.71.,,2025-05-16
226,226,Experienced wall painting with 11 years of experience. Speaks Tamil. Available to travel up to 7 km. Current rating is 3.61.,,2025-06-21
227,227,Experienced furniture assembly with 10 years of experience. Speaks Telugu. Available to travel up to 14 km. Current rating is 4.38.,,2025-11-19
228,228,Experienced hair stylist with 13 years of experience. Speaks Telugu. Available to travel up to 42 km. Current rating is 4.04.,,2025-11-21
229,229,Experienced house wiring with 7 years of experience. Speaks Tamil. Available to travel up to 10 km. Current rating is 4.8.,,2025-10-19
