job_id,employer_id,title,description,budget,status,location_id,posted_at
21,129,Need AC Installation,Looking for an experienced ac installation to provide hvac services.,8942,Open,246,2025-02-21
22,35,Need Lawn Maintenance,Looking for an experienced lawn maintenance to provide gardening services.,8789,Completed,374,2025-11-29
23,89,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,3040,Completed,402,2025-01-10
24,458,Need Catering,Looking for an experienced catering to provide cooking services.,9582,Open,26,2025-02-01
25,495,Need House Wiring,Looking for an experienced house wiring to provide electrical services.,8000,Assigned,242,2025-07-21
26,117,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,3034,Open,325,2025-01-30
27,73,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,6632,Open,371,2025-01-28
28,252,Need Tailor,Looking for an experienced tailor to provide tailoring services.,6330,Open,714,2025-04-27
29,469,Need Tailor,Looking for an experienced tailor to provide tailoring services.,9454,Open,300,2025-03-22
30,144,Need Movers,Looking for an experienced movers to provide moving services services.,8952,Open,163,2025-06-30
31,463,Need Lawn Maintenance,Looking for an experienced lawn maintenance to provide gardening services.,2705,Assigned,361,2025-02-12
32,292,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,5921,Open,340,2025-11-09
33,313,Need Painter,Looking for an experienced painter to provide painting services.,5572,Open,635,2025-07-22
34,24,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,1063,Assigned,468,2025-12-15
35,307,Need Beautician,Looking for an experienced beautician to provide beauty services.,9452,Assigned,196,2025-12-29
36,99,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,5377,Open,604,2025-12-13
37,476,Need Interior Painting,Looking for an experienced interior painting to provide painting services.,1701,Open,432,2025-09-29
38,86,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,763,Open,480,2025-03-08
39,417,Need Exterior Painting,Looking for an experienced exterior painting to provide painting services.,5267,Assigned,386,2025-09-21
40,137,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,514,Open,421,2025-09-28
41,417,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,1474,Open,114,2025-12-07
42,17,Need Gardener,Looking for an experienced gardener to provide gardening services.,7362,Completed,379,2025-10-07
43,293,Need Mason,Looking for an experienced mason to provide construction services.,5383,Assigned,243,2025-05-08
44,421,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,9253,Assigned,127,2025-10-03
45,411,Need Beautician,Looking for an experienced beautician to provide beauty services.,8104,Open,147,2025-08-30
46,402,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,3573,Open,561,2025-08-06
47,168,Need Furniture Assembly,Looking for an experienced furniture assembly to provide carpentry services.,8136,Assigned,324,2025-08-21
48,321,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,9388,Cancelled,491,2025-11-09
49,455,Need Concrete Work,Looking for an experienced concrete work to provide construction services.,5418,Open,269,2025-12-27
50,397,Need Tailor,Looking for an experienced tailor to provide tailoring services.,6394,Open,635,2025-08-01
51,170,Need AC Installation,Looking for an experienced ac installation to provide hvac services.,7507,Open,706,2025-02-11
52,259,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,6696,Open,308,2025-11-10
53,363,Need Security Guard,Looking for an experienced security guard to provide security services.,2380,Open,67,2025-03-18
54,39,Need Security Guard,Looking for an experienced security guard to provide security services.,8005,Assigned,247,2025-08-16
55,176,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,2713,Open,454,2025-10-05
56,100,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,1538,Completed,166,2025-11-13
57,191,Need Catering,Looking for an experienced catering to provide cooking services.,8127,Open,177,2025-10-17
58,70,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,8728,Completed,153,2025-08-14
59,185,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,8349,Assigned,282,2025-01-06
60,420,Need Alteration,Looking for an experienced alteration to provide tailoring services.,7819,Open,340,2025-05-19
61,49,Need Driver,Looking for an experienced driver to provide driving services.,856,Open,610,2025-05-13
62,30,Need Cook,Looking for an experienced cook to provide cooking services.,6267,Cancelled,677,2025-04-14
63,306,Need Tailor,Looking for an experienced tailor to provide tailoring services.,590,Completed,190,2025-07-26
64,189,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,4475,Open,660,2025-10-29
65,261,Need Driver,Looking for an experienced driver to provide driving services.,3069,Open,763,2025-12-07
66,445,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,5162,Assigned,618,2025-11-08
67,83,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,1101,Assigned,61,2025-02-16
68,323,Need Brick Work,Looking for an experienced brick work to provide construction services.,9260,Assigned,61,2025-09-08
69,345,Need Tailor,Looking for an experienced tailor to provide tailoring services.,8564,Completed,421,2025-01-01
70,339,Need Wall Painting,Looking for an experienced wall painting to provide painting services.,3942,Completed,592,2025-04-03
71,379,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,5877,Completed,126,2025-06-03
72,179,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,5760,Assigned,298,2025-12-26
73,139,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,5217,Open,692,2025-12-15
74,239,Need Interior Painting,Looking for an experienced interior painting to provide painting services.,5149,Open,389,2025-12-23
75,353,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,3276,Completed,283,2025-05-22
76,230,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,5429,Assigned,694,2025-03-06
77,267,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,6872,Completed,89,2025-08-25
78,258,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,6605,Completed,541,2025-10-30
79,120,Need Brick Work,Looking for an experienced brick work to provide construction services.,1303,Open,134,2025-07-23
80,278,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,5449,Completed,284,2025-07-26
81,429,Need Wall Painting,Looking for an experienced wall painting to provide painting services.,9018,Completed,12,2025-01-05
82,427,Need Gardener,Looking for an experienced gardener to provide gardening services.,4921,Completed,9,2025-11-27
83,415,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,2334,Completed,350,2025-12-20
84,488,Need Exterior Painting,Looking for an experienced exterior painting to provide painting services.,7288,Assigned,114,2025-03-21
85,482,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,8307,Completed,226,2025-10-25
86,467,Need Catering,Looking for an experienced catering to provide cooking services.,8489,Completed,303,2025-10-14
87,450,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,3632,Completed,118,2025-12-31
88,397,Need Driver,Looking for an experienced driver to provide driving services.,624,Open,130,2025-02-24
89,177,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,8033,Completed,701,2025-08-28
90,311,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,2870,Completed,668,2025-01-27
91,260,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,5584,Open,413,2025-03-26
92,451,Need AC Installation,Looking for an experienced ac installation to provide hvac services.,8735,Assigned,604,2025-07-27
93,186,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,2048,Open,605,2025-08-27
94,471,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,2079,Completed,113,2025-10-06
95,343,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,4609,Open,360,2025-05-28
96,41,Need Cook,Looking for an experienced cook to provide cooking services.,9838,Cancelled,775,2025-06-05
97,264,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,6676,Completed,499,2025-10-15
98,310,Need Catering,Looking for an experienced catering to provide cooking services.,3885,Open,783,2025-12-07
99,264,Need Interior Painting,Looking for an experienced interior painting to provide painting services.,5302,Open,51,2025-10-14
100,240,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,7269,Open,347,2025-09-28
101,205,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,9253,Cancelled,365,2025-11-05
102,199,Need Electrician,Looking for an experienced electrician to provide electrical services.,5239,Completed,311,2025-04-29
103,298,Need Wall Painting,Looking for an experienced wall painting to provide painting services.,773,Completed,300,2025-09-09
104,120,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,1630,Open,308,2025-06-10
105,81,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,861,Open,92,2025-12-18
106,349,Need Beautician,Looking for an experienced beautician to provide beauty services.,2819,Completed,582,2025-11-25
107,140,Need House Wiring,Looking for an experienced house wiring to provide electrical services.,899,Open,48,2025-09-10
108,451,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,1390,Assigned,197,2025-10-23
109,379,Need Wall Painting,Looking for an experienced wall painting to provide painting services.,5049,Assigned,288,2025-05-08
110,396,Need Packers,Looking for an experienced packers to provide moving services services.,2486,Assigned,786,2025-04-29
111,234,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,9124,Open,54,2025-07-04
112,154,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,4308,Open,16,2025-06-27
113,8,Need AC Installation,Looking for an experienced ac installation to provide hvac services.,765,Completed,286,2025-01-30
114,106,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,3620,Open,348,2025-09-05
115,26,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,8281,Open,135,2025-07-12
116,489,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,8605,Assigned,16,2025-11-10
117,462,Need Furniture Assembly,Looking for an experienced furniture assembly to provide carpentry services.,6612,Open,297,2025-01-08
118,286,Need Brick Work,Looking for an experienced brick work to provide construction services.,6318,Assigned,15,2025-01-17
119,259,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,1957,Open,628,2025-03-04
120,368,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,4002,Assigned,112,2025-11-13
121,169,Need Mason,Looking for an experienced mason to provide construction services.,6825,Assigned,216,2025-02-06
122,206,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,5765,Completed,8,2025-04-29
123,338,Need Tailor,Looking for an experienced tailor to provide tailoring services.,3359,Assigned,398,2025-03-10
124,241,Need Brick Work,Looking for an experienced brick work to provide construction services.,8671,Completed,141,2025-01-19
125,415,Need Concrete Work,Looking for an experienced concrete work to provide construction services.,637,Open,549,2025-08-07
126,320,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,5715,Completed,110,2025-05-03
127,462,Need Gardener,Looking for an experienced gardener to provide gardening services.,9396,Open,1,2025-06-30
128,30,Need Alteration,Looking for an experienced alteration to provide tailoring services.,4385,Completed,64,2025-07-08
129,192,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,3258,Open,447,2025-01-21
130,121,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,4375,Open,527,2025-10-31
131,246,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,5633,Assigned,122,2025-06-12
132,15,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,3046,Assigned,260,2025-03-25
133,213,Need House Cleaning,Looking for an experienced house cleaning to provide cleaning services.,9903,Open,669,2025-11-09
134,385,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,3655,Assigned,681,2025-10-20
135,30,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,7559,Completed,603,2025-02-09
136,45,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,5271,Cancelled,752,2025-10-11
137,87,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,1890,Assigned,88,2025-09-16
138,336,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,8110,Completed,416,2025-02-25
139,379,Need Light Installation,Looking for an experienced light installation to provide electrical services.,6410,Open,693,2025-04-04
140,364,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,689,Assigned,44,2025-05-04
141,241,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,1450,Open,447,2025-08-14
142,455,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,1502,Open,306,2025-02-10
143,244,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,6768,Open,150,2025-02-01
144,384,Need Lawn Maintenance,Looking for an experienced lawn maintenance to provide gardening services.,1702,Open,455,2025-08-10
145,340,Need Tile Installation,Looking for an experienced tile installation to provide construction services.,9120,Cancelled,81,2025-05-10
146,7,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,8430,Completed,188,2025-06-28
147,233,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,675,Assigned,248,2025-12-17
148,339,Need Security Guard,Looking for an experienced security guard to provide security services.,3016,Open,551,2025-04-19
149,45,Need House Cleaning,Looking for an experienced house cleaning to provide cleaning services.,8166,Assigned,483,2025-08-16
150,195,Need Painter,Looking for an experienced painter to provide painting services.,2172,Open,705,2025-06-20
151,289,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,8865,Open,604,2025-10-04
152,407,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,3698,Assigned,307,2025-10-16
153,341,Need Beautician,Looking for an experienced beautician to provide beauty services.,1815,Completed,559,2025-08-26
154,60,Need Packers,Looking for an experienced packers to provide moving services services.,8528,Assigned,462,2025-05-15
155,4,Need Electrician,Looking for an experienced electrician to provide electrical services.,8196,Completed,513,2025-02-26
156,256,Need Electrician,Looking for an experienced electrician to provide electrical services.,3786,Completed,98,2025-11-21
157,11,Need Lawn Maintenance,Looking for an experienced lawn maintenance to provide gardening services.,4888,Open,712,2025-08-20
158,224,Need Alteration,Looking for an experienced alteration to provide tailoring services.,2744,Completed,526,2025-04-07
159,174,Need Exterior Painting,Looking for an experienced exterior painting to provide painting services.,1909,Open,362,2025-09-26
160,230,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,4876,Completed,135,2025-09-29
161,198,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,4348,Completed,643,2025-10-31
162,109,Need Makeup Artist,Looking for an experienced makeup artist to provide beauty services.,8955,Assigned,257,2025-07-10
163,132,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,1499,Assigned,756,2025-12-14
164,30,Need Mason,Looking for an experienced mason to provide construction services.,3931,Assigned,437,2025-01-31
165,274,Need Interior Painting,Looking for an experienced interior painting to provide painting services.,8457,Assigned,594,2025-12-16
166,261,Need Light Installation,Looking for an experienced light installation to provide electrical services.,5118,Completed,665,2025-05-12
167,325,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,6557,Assigned,73,2025-06-22
168,421,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,8017,Assigned,106,2025-05-12
169,343,Need Beautician,Looking for an experienced beautician to provide beauty services.,3453,Completed,135,2025-11-01
170,138,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,8367,Assigned,448,2025-04-11
171,356,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,3465,Open,593,2025-12-10
172,319,Need Light Installation,Looking for an experienced light installation to provide electrical services.,4154,Completed,450,2025-11-17
173,397,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,9152,Open,425,2025-07-26
174,155,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,2831,Completed,620,2025-08-11
175,223,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,2915,Assigned,744,2025-03-31
176,64,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,3305,Assigned,138,2025-08-18
177,410,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,6937,Open,557,2025-10-13
178,42,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,7774,Open,148,2025-02-28
179,352,Need Painter,Looking for an experienced painter to provide painting services.,9851,Assigned,402,2025-10-12
180,396,Need Packers,Looking for an experienced packers to provide moving services services.,1305,Assigned,73,2025-05-15
181,104,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,4281,Completed,497,2025-06-14
182,11,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,4171,Open,613,2025-06-14
183,325,Need Catering,Looking for an experienced catering to provide cooking services.,9006,Completed,767,2025-09-30
184,32,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,6458,Completed,791,2025-03-19
185,306,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,8669,Assigned,674,2025-09-09
186,228,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,6833,Assigned,444,2025-04-05
187,38,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,2339,Open,371,2025-02-16
188,252,Need Switch Repair,Looking for an experienced switch repair to provide electrical services.,6754,Completed,111,2025-11-06
189,485,Need Brick Work,Looking for an experienced brick work to provide construction services.,4503,Completed,225,2025-04-04
190,375,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,2325,Completed,115,2025-09-26
191,355,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,7343,Assigned,784,2025-02-06
192,469,Need Tailor,Looking for an experienced tailor to provide tailoring services.,7336,Completed,321,2025-02-24
193,147,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,876,Open,721,2025-07-07
194,27,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,4355,Open,124,2025-12-10
195,414,Need Exterior Painting,Looking for an experienced exterior painting to provide painting services.,4600,Assigned,627,2025-03-31
196,195,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,2582,Completed,352,2025-01-20
197,340,Need Plumber,Looking for an experienced plumber to provide plumbing services.,6863,Completed,420,2025-03-10
198,452,Need Beautician,Looking for an experienced beautician to provide beauty services.,8786,Assigned,589,2025-12-24
199,305,Need Mason,Looking for an experienced mason to provide construction services.,3052,Completed,283,2025-01-02
200,325,Need Catering,Looking for an experienced catering to provide cooking services.,3563,Open,183,2025-07-06
201,499,Need Switch Repair,Looking for an experienced switch repair to provide electrical services.,7126,Cancelled,199,2025-11-26
202,382,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,5627,Completed,601,2025-08-02
203,355,Need Concrete Work,Looking for an experienced concrete work to provide construction services.,3098,Assigned,287,2025-10-20
204,127,Need Packers,Looking for an experienced packers to provide moving services services.,5402,Open,217,2025-09-01
205,242,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,6243,Assigned,250,2025-08-06
206,366,Need Cook,Looking for an experienced cook to provide cooking services.,5578,Completed,247,2025-02-17
207,318,Need Cloth Stitching,Looking for an experienced cloth stitching to provide tailoring services.,1738,Completed,455,2025-11-23
208,314,Need Painter,Looking for an experienced painter to provide painting services.,684,Open,495,2025-07-14
209,62,Need Catering,Looking for an experienced catering to provide cooking services.,7154,Assigned,523,2025-04-06
210,499,Need Beautician,Looking for an experienced beautician to provide beauty services.,2676,Completed,296,2025-04-16
211,335,Need Packers,Looking for an experienced packers to provide moving services services.,2340,Open,88,2025-08-14
212,375,Need Electrician,Looking for an experienced electrician to provide electrical services.,5118,Open,465,2025-07-15
213,148,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,8916,Open,324,2025-02-23
214,231,Need Painter,Looking for an experienced painter to provide painting services.,8160,Assigned,653,2025-07-21
215,220,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,8953,Completed,483,2026-01-01
216,214,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,3360,Completed,580,2025-01-19
217,302,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,1291,Completed,66,2025-09-07
218,494,Need Painter,Looking for an experienced painter to provide painting services.,644,Completed,59,2025-01-16
219,52,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,8997,Completed,546,2025-12-09
220,367,Need AC Repair,Looking for an experienced ac repair to provide hvac services.,1830,Assigned,391,2025-08-24
221,166,Need House Cleaning,Looking for an experienced house cleaning to provide cleaning services.,790,Assigned,587,2025-11-16
222,417,Need Hair Stylist,Looking for an experienced hair stylist to provide beauty services.,1864,Completed,425,2025-11-27
223,248,Need Wood Polishing,Looking for an experienced wood polishing to provide carpentry services.,2255,Assigned,665,2025-10-25
224,413,Need Bathroom Fitting,Looking for an experienced bathroom fitting to provide plumbing services.,5865,Assigned,634,2025-07-02
225,127,Need Makeup Artist,Looking for an experienced makeup artist to provide beauty services.,5760,Open,688,2025-11-03
226,432,Need Deep Cleaning,Looking for an experienced deep cleaning to provide cleaning services.,8001,Open,38,2025-02-22
227,426,Need Gardener,Looking for an experienced gardener to provide gardening services.,6825,Open,742,2025-01-25
228,111,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,3382,Open,781,2025-10-14
229,203,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,8827,Open,30,2025-03-04
230,493,Need Furniture Assembly,Looking for an experienced furniture assembly to provide carpentry services.,4971,Open,67,2025-03-15
231,437,Need Gardener,Looking for an experienced gardener to provide gardening services.,3446,Assigned,66,2025-05-26
232,477,Need Leak Detection,Looking for an experienced leak detection to provide plumbing services.,4608,Cancelled,19,2025-09-21
233,149,Need Security Guard,Looking for an experienced security guard to provide security services.,3301,Completed,40,2025-09-19
234,284,Need Plumber,Looking for an experienced plumber to provide plumbing services.,4299,Completed,255,2025-09-10
235,413,Need Cook,Looking for an experienced cook to provide cooking services.,8421,Completed,406,2025-01-24
236,231,Need Brick Work,Looking for an experienced brick work to provide construction services.,8935,Open,704,2025-11-07
237,252,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,3043,Completed,723,2025-12-30
238,219,Need Painter,Looking for an experienced painter to provide painting services.,3703,Completed,694,2025-11-10
239,347,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,9873,Open,620,2025-03-04
240,462,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,5827,Open,156,2025-08-15
241,400,Need Driver,Looking for an experienced driver to provide driving services.,7854,Completed,197,2025-11-08
242,326,Need Switch Repair,Looking for an experienced switch repair to provide electrical services.,5932,Completed,67,2025-01-25
243,120,Need Electrician,Looking for an experienced electrician to provide electrical services.,673,Completed,89,2025-08-16
244,439,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,2210,Completed,790,2025-07-23
245,102,Need Light Installation,Looking for an experienced light installation to provide electrical services.,1561,Completed,754,2025-12-16
246,102,Need Light Installation,Looking for an experienced light installation to provide electrical services.,8662,Completed,269,2025-02-01
247,101,Need Makeup Artist,Looking for an experienced makeup artist to provide beauty services.,7884,Open,681,2025-07-27
248,478,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,3565,Open,437,2025-07-05
249,139,Need Movers,Looking for an experienced movers to provide moving services services.,4623,Completed,177,2025-09-20
250,189,Need Pipe Repair,Looking for an experienced pipe repair to provide plumbing services.,7074,Completed,361,2025-02-02
251,322,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,3747,Cancelled,527,2025-03-10
252,306,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,8431,Completed,582,2025-06-14
253,292,Need Security Guard,Looking for an experienced security guard to provide security services.,7994,Completed,730,2025-12-21
254,391,Need Catering,Looking for an experienced catering to provide cooking services.,8252,Open,68,2025-02-18
255,304,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,7229,Completed,5,2025-08-15
256,106,Need TV Repair,Looking for an experienced tv repair to provide home appliances services.,3739,Completed,269,2025-02-21
257,447,Need Microwave Repair,Looking for an experienced microwave repair to provide home appliances services.,3373,Open,48,2025-12-12
258,414,Need Catering,Looking for an experienced catering to provide cooking services.,1858,Completed,72,2025-01-09
259,425,Need Fan Installation,Looking for an experienced fan installation to provide electrical services.,4221,Open,78,2025-08-18
260,325,Need Carpenter,Looking for an experienced carpenter to provide carpentry services.,3353,Completed,174,2025-07-18
261,218,Need Light Installation,Looking for an experienced light installation to provide electrical services.,7647,Assigned,446,2025-09-01
262,120,Need Furniture Assembly,Looking for an experienced furniture assembly to provide carpentry services.,7894,Open,595,2025-05-04
263,345,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,1767,Open,190,2025-04-15
264,309,Need Wood Polishing,Looking for an experienced wood polishing to provide carpentry services.,5705,Completed,113,2025-07-23
265,423,Need Movers,Looking for an experienced movers to provide moving services services.,8494,Open,420,2025-10-25
266,461,Need Door Repair,Looking for an experienced door repair to provide carpentry services.,9223,Assigned,120,2025-10-27
267,433,Need AC Technician,Looking for an experienced ac technician to provide hvac services.,8112,Open,391,2025-06-16
268,215,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,4344,Completed,2,2025-04-11
269,76,Need Alteration,Looking for an experienced alteration to provide tailoring services.,2756,Completed,455,2025-05-06
270,341,Need Water Tank Installation,Looking for an experienced water tank installation to provide plumbing services.,7702,Cancelled,469,2025-11-20
271,198,Need Alteration,Looking for an experienced alteration to provide tailoring services.,5126,Assigned,244,2025-05-14
272,119,Need Washing Machine Repair,Looking for an experienced washing machine repair to provide home appliances services.,563,Completed,695,2025-12-31
273,311,Need Refrigerator Repair,Looking for an experienced refrigerator repair to provide hvac services.,2781,Assigned,97,2025-07-24
274,499,Need Plumber,Looking for an experienced plumber to provide plumbing services.,6329,Open,740,2025-04-19
275,10,Need Kitchen Cleaning,Looking for an experienced kitchen cleaning to provide cleaning services.,4246,Assigned,701,2025-03-22
276,271,Need Furniture Assembly,Looking for an experienced furniture assembly to provide carpentry services.,2830,Completed,216,2025-02-27
277,260,Need Switch Repair,Looking for an experienced switch repair to provide electrical services.,8540,Assigned,233,2025-02-12
