notification_id,booking_id,recipient_type,recipient_id,notification_type,message,is_read,created_at
40,20,Employer,294,Booking,Your booking request is pending.,False,2025-06-11
41,21,Worker,5250,Booking,A new booking request is waiting for your response.,True,2025-08-19
42,21,Employer,129,Booking,Your booking request is pending.,False,2025-08-19
43,22,Worker,2852,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-04-18
44,22,Employer,35,Booking,Your service has been completed. Please rate the worker.,False,2025-04-18
45,23,Worker,4709,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-06-29
46,23,Employer,89,Booking,Your service has been completed. Please rate the worker.,False,2025-06-29
47,24,Worker,5539,Booking,A new booking request is waiting for your response.,False,2025-06-05
48,24,Employer,458,Booking,Your booking request is pending.,False,2025-06-05
49,25,Worker,3585,Booking,The booking has been cancelled.,True,2025-10-04
50,25,Employer,495,Booking,Your booking has been cancelled.,False,2025-10-04
51,26,Worker,5269,Booking,A new booking request is waiting for your response.,False,2025-01-08
52,26,Employer,117,Booking,Your booking request is pending.,False,2025-01-08
53,27,Worker,1762,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-06-07
54,27,Employer,73,Booking,Your service has been completed. Please rate the worker.,False,2025-06-07
55,28,Worker,464,Booking,You have accepted a new booking.,True,2025-08-27
56,28,Employer,252,Booking,A worker has accepted your booking.,True,2025-08-27
57,29,Worker,6379,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-04-04
58,29,Employer,469,Booking,Your service has been completed. Please rate the worker.,False,2025-04-04
59,30,Worker,39,Booking,You have accepted a new booking.,True,2025-02-15
60,30,Employer,144,Booking,A worker has accepted your booking.,True,2025-02-15
61,31,Worker,582,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-14
62,31,Employer,463,Booking,Your service has been completed. Please rate the worker.,False,2025-07-14
63,32,Worker,5895,Booking,You have accepted a new booking.,True,2025-09-09
64,32,Employer,292,Booking,A worker has accepted your booking.,True,2025-09-09
65,33,Worker,259,Booking,You have accepted a new booking.,False,2025-10-31
66,33,Employer,313,Booking,A worker has accepted your booking.,True,2025-10-31
67,34,Worker,6480,Booking,The booking has been cancelled.,True,2025-04-06
68,34,Employer,24,Booking,Your booking has been cancelled.,True,2025-04-06
69,35,Worker,3101,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-08-01
70,35,Employer,307,Booking,Your service has been completed. Please rate the worker.,False,2025-08-01
71,36,Worker,4178,Booking,You have accepted a new booking.,False,2025-10-07
72,36,Employer,99,Booking,A worker has accepted your booking.,True,2025-10-07
73,37,Worker,4342,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-04
74,37,Employer,476,Booking,Your service has been completed. Please rate the worker.,False,2025-03-04
75,38,Worker,4769,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-10-11
76,38,Employer,86,Booking,Your service has been completed. Please rate the worker.,False,2025-10-11
77,39,Worker,259,Booking,A new booking request is waiting for your response.,False,2025-07-13
78,39,Employer,417,Booking,Your booking request is pending.,True,2025-07-13
79,40,Worker,85,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-03-23
80,40,Employer,137,Booking,Your service has been completed. Please rate the worker.,False,2025-03-23
81,41,Worker,5806,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-02-28
82,41,Employer,417,Booking,Your service has been completed. Please rate the worker.,False,2025-02-28
83,42,Worker,2030,Booking,You have accepted a new booking.,False,2025-01-05
84,42,Employer,17,Booking,A worker has accepted your booking.,True,2025-01-05
85,43,Worker,1778,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-25
86,43,Employer,293,Booking,Your service has been completed. Please rate the worker.,False,2025-07-25
87,44,Worker,2298,Booking,A new booking request is waiting for your response.,True,2025-01-15
88,44,Employer,421,Booking,Your booking request is pending.,True,2025-01-15
89,45,Worker,2006,Booking,A new booking request is waiting for your response.,False,2025-11-20
90,45,Employer,411,Booking,Your booking request is pending.,True,2025-11-20
91,46,Worker,1934,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-24
92,46,Employer,402,Booking,Your service has been completed. Please rate the worker.,False,2025-12-24
93,47,Worker,527,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-26
94,47,Employer,168,Booking,Your service has been completed. Please rate the worker.,True,2025-07-26
95,48,Worker,3699,Booking,A new booking request is waiting for your response.,False,2025-01-24
96,48,Employer,321,Booking,Your booking request is pending.,True,2025-01-24
97,49,Worker,2594,Booking,The booking has been cancelled.,True,2025-06-10
98,49,Employer,455,Booking,Your booking has been cancelled.,False,2025-06-10
99,50,Worker,4434,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-06
100,50,Employer,397,Booking,Your service has been completed. Please rate the worker.,False,2025-11-06
101,51,Worker,3819,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-08-22
102,51,Employer,170,Booking,Your service has been completed. Please rate the worker.,True,2025-08-22
103,52,Worker,1977,Booking,A new booking request is waiting for your response.,True,2025-08-08
104,52,Employer,259,Booking,Your booking request is pending.,True,2025-08-08
105,53,Worker,1183,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-10-08
106,53,Employer,363,Booking,Your service has been completed. Please rate the worker.,False,2025-10-08
107,54,Worker,1766,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-06-25
108,54,Employer,39,Booking,Your service has been completed. Please rate the worker.,False,2025-06-25
109,55,Worker,4476,Booking,The booking has been cancelled.,False,2025-11-05
110,55,Employer,176,Booking,Your booking has been cancelled.,True,2025-11-05
111,56,Worker,5024,Booking,You have accepted a new booking.,True,2025-06-15
112,56,Employer,100,Booking,A worker has accepted your booking.,False,2025-06-15
113,57,Worker,2150,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-05-29
114,57,Employer,191,Booking,Your service has been completed. Please rate the worker.,True,2025-05-29
115,58,Worker,6360,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-27
116,58,Employer,70,Booking,Your service has been completed. Please rate the worker.,True,2025-03-27
117,59,Worker,5735,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-04
118,59,Employer,185,Booking,Your service has been completed. Please rate the worker.,False,2025-07-04
119,60,Worker,5719,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-09-21
120,60,Employer,420,Booking,Your service has been completed. Please rate the worker.,True,2025-09-21
121,61,Worker,5259,Booking,You have accepted a new booking.,True,2025-02-13
122,61,Employer,49,Booking,A worker has accepted your booking.,True,2025-02-13
123,62,Worker,6099,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-20
124,62,Employer,30,Booking,Your service has been completed. Please rate the worker.,True,2025-04-20
125,63,Worker,3325,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-08-15
126,63,Employer,306,Booking,Your service has been completed. Please rate the worker.,False,2025-08-15
127,64,Worker,3391,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-06-05
128,64,Employer,189,Booking,Your service has been completed. Please rate the worker.,True,2025-06-05
129,65,Worker,5409,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-10-06
130,65,Employer,261,Booking,Your service has been completed. Please rate the worker.,True,2025-10-06
131,66,Worker,1848,Booking,The booking has been cancelled.,True,2025-05-24
132,66,Employer,445,Booking,Your booking has been cancelled.,False,2025-05-24
133,67,Worker,3554,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-03
134,67,Employer,83,Booking,Your service has been completed. Please rate the worker.,False,2025-12-03
135,68,Worker,5007,Booking,The booking has been cancelled.,True,2025-02-27
136,68,Employer,323,Booking,Your booking has been cancelled.,True,2025-02-27
137,69,Worker,317,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-28
138,69,Employer,345,Booking,Your service has been completed. Please rate the worker.,True,2025-04-28
139,70,Worker,1639,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-13
140,70,Employer,339,Booking,Your service has been completed. Please rate the worker.,False,2025-08-13
141,71,Worker,1439,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-05-10
142,71,Employer,379,Booking,Your service has been completed. Please rate the worker.,True,2025-05-10
143,72,Worker,4539,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-21
144,72,Employer,179,Booking,Your service has been completed. Please rate the worker.,False,2025-11-21
145,73,Worker,3703,Booking,You have accepted a new booking.,True,2025-07-26
146,73,Employer,139,Booking,A worker has accepted your booking.,True,2025-07-26
147,74,Worker,4343,Booking,A new booking request is waiting for your response.,True,2025-11-29
148,74,Employer,239,Booking,Your booking request is pending.,False,2025-11-29
149,75,Worker,6218,Booking,You have accepted a new booking.,False,2025-10-30
150,75,Employer,353,Booking,A worker has accepted your booking.,True,2025-10-30
151,76,Worker,3017,Booking,The booking has been cancelled.,False,2025-05-20
152,76,Employer,230,Booking,Your booking has been cancelled.,False,2025-05-20
153,77,Worker,5467,Booking,A new booking request is waiting for your response.,False,2025-09-05
154,77,Employer,267,Booking,Your booking request is pending.,True,2025-09-05
155,78,Worker,5112,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-05-01
156,78,Employer,258,Booking,Your service has been completed. Please rate the worker.,False,2025-05-01
157,79,Worker,2285,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-15
158,79,Employer,120,Booking,Your service has been completed. Please rate the worker.,True,2025-04-15
159,80,Worker,1286,Booking,A new booking request is waiting for your response.,True,2025-07-15
160,80,Employer,278,Booking,Your booking request is pending.,False,2025-07-15
161,81,Worker,4700,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-09-28
162,81,Employer,429,Booking,Your service has been completed. Please rate the worker.,True,2025-09-28
163,82,Worker,6127,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-02-19
164,82,Employer,427,Booking,Your service has been completed. Please rate the worker.,True,2025-02-19
165,83,Worker,5832,Booking,A new booking request is waiting for your response.,False,2025-07-17
166,83,Employer,415,Booking,Your booking request is pending.,True,2025-07-17
167,84,Worker,1473,Booking,You have accepted a new booking.,True,2025-10-19
168,84,Employer,488,Booking,A worker has accepted your booking.,False,2025-10-19
169,85,Worker,3869,Booking,You have accepted a new booking.,True,2025-02-19
170,85,Employer,482,Booking,A worker has accepted your booking.,True,2025-02-19
171,86,Worker,126,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-29
172,86,Employer,467,Booking,Your service has been completed. Please rate the worker.,True,2025-11-29
173,87,Worker,5669,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-20
174,87,Employer,450,Booking,Your service has been completed. Please rate the worker.,False,2025-11-20
175,88,Worker,2830,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-01-11
176,88,Employer,397,Booking,Your service has been completed. Please rate the worker.,True,2025-01-11
177,89,Worker,2437,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-25
178,89,Employer,177,Booking,Your service has been completed. Please rate the worker.,True,2025-07-25
179,90,Worker,2520,Booking,You have accepted a new booking.,True,2025-01-15
180,90,Employer,311,Booking,A worker has accepted your booking.,True,2025-01-15
181,91,Worker,2065,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-05
182,91,Employer,260,Booking,Your service has been completed. Please rate the worker.,False,2025-03-05
183,92,Worker,4903,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-15
184,92,Employer,451,Booking,Your service has been completed. Please rate the worker.,False,2025-04-15
185,93,Worker,295,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-08-04
186,93,Employer,186,Booking,Your service has been completed. Please rate the worker.,False,2025-08-04
187,94,Worker,1460,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-07
188,94,Employer,471,Booking,Your service has been completed. Please rate the worker.,True,2025-12-07
189,95,Worker,3461,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-05-03
190,95,Employer,343,Booking,Your service has been completed. Please rate the worker.,False,2025-05-03
191,96,Worker,1598,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-10-17
192,96,Employer,41,Booking,Your service has been completed. Please rate the worker.,False,2025-10-17
193,97,Worker,1552,Booking,You have accepted a new booking.,True,2025-12-08
194,97,Employer,264,Booking,A worker has accepted your booking.,True,2025-12-08
195,98,Worker,3135,Booking,You have accepted a new booking.,False,2025-05-13
196,98,Employer,310,Booking,A worker has accepted your booking.,True,2025-05-13
197,99,Worker,115,Booking,You have accepted a new booking.,True,2025-04-20
198,99,Employer,264,Booking,A worker has accepted your booking.,True,2025-04-20
199,100,Worker,5533,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-26
200,100,Employer,240,Booking,Your service has been completed. Please rate the worker.,False,2025-04-26
201,101,Worker,369,Booking,The booking has been cancelled.,True,2025-07-22
202,101,Employer,205,Booking,Your booking has been cancelled.,True,2025-07-22
203,102,Worker,4622,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-02-04
204,102,Employer,199,Booking,Your service has been completed. Please rate the worker.,False,2025-02-04
205,103,Worker,6399,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-20
206,103,Employer,298,Booking,Your service has been completed. Please rate the worker.,True,2025-07-20
207,104,Worker,5328,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-10-24
208,104,Employer,120,Booking,Your service has been completed. Please rate the worker.,True,2025-10-24
209,105,Worker,3433,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-10
210,105,Employer,81,Booking,Your service has been completed. Please rate the worker.,True,2025-07-10
211,106,Worker,5836,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-04-27
212,106,Employer,349,Booking,Your service has been completed. Please rate the worker.,True,2025-04-27
213,107,Worker,2820,Booking,You have accepted a new booking.,False,2025-04-04
214,107,Employer,140,Booking,A worker has accepted your booking.,False,2025-04-04
215,108,Worker,2129,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-10-14
216,108,Employer,451,Booking,Your service has been completed. Please rate the worker.,True,2025-10-14
217,109,Worker,4914,Booking,You have accepted a new booking.,False,2025-02-07
218,109,Employer,379,Booking,A worker has accepted your booking.,True,2025-02-07
219,110,Worker,1844,Booking,You have accepted a new booking.,True,2025-09-01
220,110,Employer,396,Booking,A worker has accepted your booking.,False,2025-09-01
221,111,Worker,2946,Booking,A new booking request is waiting for your response.,True,2025-09-06
222,111,Employer,234,Booking,Your booking request is pending.,True,2025-09-06
223,112,Worker,4759,Booking,A new booking request is waiting for your response.,False,2025-07-23
224,112,Employer,154,Booking,Your booking request is pending.,False,2025-07-23
225,113,Worker,4757,Booking,A new booking request is waiting for your response.,True,2025-04-18
226,113,Employer,8,Booking,Your booking request is pending.,False,2025-04-18
227,114,Worker,4488,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-23
228,114,Employer,106,Booking,Your service has been completed. Please rate the worker.,True,2025-12-23
229,115,Worker,6260,Booking,You have accepted a new booking.,True,2025-05-13
230,115,Employer,26,Booking,A worker has accepted your booking.,False,2025-05-13
231,116,Worker,6122,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-15
232,116,Employer,489,Booking,Your service has been completed. Please rate the worker.,False,2025-07-15
233,117,Worker,6132,Booking,You have accepted a new booking.,True,2025-06-16
234,117,Employer,462,Booking,A worker has accepted your booking.,False,2025-06-16
235,118,Worker,2142,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-07-30
236,118,Employer,286,Booking,Your service has been completed. Please rate the worker.,True,2025-07-30
237,119,Worker,2268,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-01
238,119,Employer,259,Booking,Your service has been completed. Please rate the worker.,True,2025-08-01
239,120,Worker,3523,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-11-15
240,120,Employer,368,Booking,Your service has been completed. Please rate the worker.,True,2025-11-15
241,121,Worker,375,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-03
242,121,Employer,169,Booking,Your service has been completed. Please rate the worker.,False,2025-03-03
243,122,Worker,1052,Booking,The booking has been cancelled.,False,2025-10-20
244,122,Employer,206,Booking,Your booking has been cancelled.,True,2025-10-20
245,123,Worker,5092,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-11
246,123,Employer,338,Booking,Your service has been completed. Please rate the worker.,True,2025-03-11
247,124,Worker,5759,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-09
248,124,Employer,241,Booking,Your service has been completed. Please rate the worker.,True,2025-08-09
249,125,Worker,3508,Booking,You have accepted a new booking.,False,2025-08-24
250,125,Employer,415,Booking,A worker has accepted your booking.,True,2025-08-24
251,126,Worker,1498,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-18
252,126,Employer,320,Booking,Your service has been completed. Please rate the worker.,True,2025-11-18
253,127,Worker,1595,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-02-05
254,127,Employer,462,Booking,Your service has been completed. Please rate the worker.,True,2025-02-05
255,128,Worker,6378,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-05-01
256,128,Employer,30,Booking,Your service has been completed. Please rate the worker.,True,2025-05-01
257,129,Worker,2500,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-27
258,129,Employer,192,Booking,Your service has been completed. Please rate the worker.,True,2025-11-27
259,130,Worker,5816,Booking,A new booking request is waiting for your response.,True,2025-03-16
260,130,Employer,121,Booking,Your booking request is pending.,False,2025-03-16
261,131,Worker,4523,Booking,A new booking request is waiting for your response.,True,2025-04-20
262,131,Employer,246,Booking,Your booking request is pending.,True,2025-04-20
263,132,Worker,1541,Booking,You have accepted a new booking.,True,2025-05-01
264,132,Employer,15,Booking,A worker has accepted your booking.,True,2025-05-01
265,133,Worker,1961,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-26
266,133,Employer,213,Booking,Your service has been completed. Please rate the worker.,True,2025-08-26
267,134,Worker,5629,Booking,A new booking request is waiting for your response.,False,2025-12-02
268,134,Employer,385,Booking,Your booking request is pending.,False,2025-12-02
269,135,Worker,4038,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-03-04
270,135,Employer,30,Booking,Your service has been completed. Please rate the worker.,False,2025-03-04
271,136,Worker,2299,Booking,A new booking request is waiting for your response.,True,2025-11-20
272,136,Employer,45,Booking,Your booking request is pending.,True,2025-11-20
273,137,Worker,590,Booking,You have accepted a new booking.,True,2025-02-10
274,137,Employer,87,Booking,A worker has accepted your booking.,False,2025-02-10
275,138,Worker,2500,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-10-25
276,138,Employer,336,Booking,Your service has been completed. Please rate the worker.,False,2025-10-25
277,139,Worker,4244,Booking,You have accepted a new booking.,True,2025-06-25
278,139,Employer,379,Booking,A worker has accepted your booking.,True,2025-06-25
279,140,Worker,3938,Booking,A new booking request is waiting for your response.,False,2025-10-25
280,140,Employer,364,Booking,Your booking request is pending.,True,2025-10-25
281,141,Worker,2343,Booking,A new booking request is waiting for your response.,False,2025-12-29
282,141,Employer,241,Booking,Your booking request is pending.,True,2025-12-29
283,142,Worker,3053,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-17
284,142,Employer,455,Booking,Your service has been completed. Please rate the worker.,False,2025-08-17
285,143,Worker,3143,Booking,You have accepted a new booking.,False,2025-05-27
286,143,Employer,244,Booking,A worker has accepted your booking.,False,2025-05-27
287,144,Worker,3690,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-11-20
288,144,Employer,384,Booking,Your service has been completed. Please rate the worker.,True,2025-11-20
289,145,Worker,6472,Booking,You have accepted a new booking.,False,2025-07-30
290,145,Employer,340,Booking,A worker has accepted your booking.,True,2025-07-30
291,146,Worker,4,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-02-08
292,146,Employer,7,Booking,Your service has been completed. Please rate the worker.,False,2025-02-08
293,147,Worker,250,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-10
294,147,Employer,233,Booking,Your service has been completed. Please rate the worker.,True,2025-12-10
295,148,Worker,5725,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-09-19
296,148,Employer,339,Booking,Your service has been completed. Please rate the worker.,False,2025-09-19
297,149,Worker,1036,Booking,You have accepted a new booking.,False,2025-03-27
298,149,Employer,45,Booking,A worker has accepted your booking.,False,2025-03-27
299,150,Worker,3535,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-05-18
300,150,Employer,195,Booking,Your service has been completed. Please rate the worker.,True,2025-05-18
301,151,Worker,1100,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-05-20
302,151,Employer,289,Booking,Your service has been completed. Please rate the worker.,True,2025-05-20
303,152,Worker,1085,Booking,You have accepted a new booking.,False,2025-10-02
304,152,Employer,407,Booking,A worker has accepted your booking.,False,2025-10-02
305,153,Worker,6479,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-06-23
306,153,Employer,341,Booking,Your service has been completed. Please rate the worker.,True,2025-06-23
307,154,Worker,3565,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-11-10
308,154,Employer,60,Booking,Your service has been completed. Please rate the worker.,False,2025-11-10
309,155,Worker,623,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-12-08
310,155,Employer,4,Booking,Your service has been completed. Please rate the worker.,False,2025-12-08
311,156,Worker,2843,Booking,You have accepted a new booking.,True,2025-08-24
312,156,Employer,256,Booking,A worker has accepted your booking.,True,2025-08-24
313,157,Worker,5208,Booking,The booking has been cancelled.,False,2025-10-29
314,157,Employer,11,Booking,Your booking has been cancelled.,True,2025-10-29
315,158,Worker,3669,Booking,The booking has been cancelled.,True,2025-12-21
316,158,Employer,224,Booking,Your booking has been cancelled.,True,2025-12-21
317,159,Worker,3032,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-06-01
318,159,Employer,174,Booking,Your service has been completed. Please rate the worker.,True,2025-06-01
319,160,Worker,3828,Booking,You have accepted a new booking.,True,2025-11-06
320,160,Employer,230,Booking,A worker has accepted your booking.,False,2025-11-06
321,161,Worker,2603,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-12-10
322,161,Employer,198,Booking,Your service has been completed. Please rate the worker.,False,2025-12-10
323,162,Worker,303,Booking,You have accepted a new booking.,False,2025-12-15
324,162,Employer,109,Booking,A worker has accepted your booking.,False,2025-12-15
325,163,Worker,943,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-09-23
326,163,Employer,132,Booking,Your service has been completed. Please rate the worker.,True,2025-09-23
327,164,Worker,1254,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-01-22
328,164,Employer,30,Booking,Your service has been completed. Please rate the worker.,True,2025-01-22
329,165,Worker,3606,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-06-05
330,165,Employer,274,Booking,Your service has been completed. Please rate the worker.,False,2025-06-05
331,166,Worker,377,Booking,You have accepted a new booking.,True,2025-05-05
332,166,Employer,261,Booking,A worker has accepted your booking.,False,2025-05-05
333,167,Worker,1176,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-06-20
334,167,Employer,325,Booking,Your service has been completed. Please rate the worker.,True,2025-06-20
335,168,Worker,3107,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-12-24
336,168,Employer,421,Booking,Your service has been completed. Please rate the worker.,False,2025-12-24
337,169,Worker,6383,Booking,A new booking request is waiting for your response.,False,2025-11-24
338,169,Employer,343,Booking,Your booking request is pending.,False,2025-11-24
339,170,Worker,2338,Booking,You have accepted a new booking.,False,2025-08-13
340,170,Employer,138,Booking,A worker has accepted your booking.,True,2025-08-13
341,171,Worker,319,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-04-08
342,171,Employer,356,Booking,Your service has been completed. Please rate the worker.,True,2025-04-08
343,172,Worker,899,Booking,Job completed successfully. Payment will be processed shortly.,False,2025-08-04
344,172,Employer,319,Booking,Your service has been completed. Please rate the worker.,True,2025-08-04
345,173,Worker,3769,Booking,You have accepted a new booking.,True,2025-07-10
346,173,Employer,397,Booking,A worker has accepted your booking.,True,2025-07-10
347,174,Worker,452,Booking,You have accepted a new booking.,True,2025-02-24
348,174,Employer,155,Booking,A worker has accepted your booking.,True,2025-02-24
349,175,Worker,4428,Booking,You have accepted a new booking.,False,2025-07-09
350,175,Employer,223,Booking,A worker has accepted your booking.,False,2025-07-09
351,176,Worker,5364,Booking,You have accepted a new booking.,False,2025-04-05
352,176,Employer,64,Booking,A worker has accepted your booking.,True,2025-04-05
353,177,Worker,710,Booking,A new booking request is waiting for your response.,False,2025-06-10
354,177,Employer,410,Booking,Your booking request is pending.,False,2025-06-10
355,178,Worker,5091,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-03
356,178,Employer,42,Booking,Your service has been completed. Please rate the worker.,True,2025-07-03
357,179,Worker,4242,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-07-23
358,179,Employer,352,Booking,Your service has been completed. Please rate the worker.,False,2025-07-23
359,180,Worker,4898,Booking,Job completed successfully. Payment will be processed shortly.,True,2025-08-08
